feature,importance
stop_event_rate,0.42890223278451495
stop_density,0.13904700707743853
hour_sin,0.0810685789305664
user_frequency,0.02172135023987434
stop_dist_std,0.020799326455727154
stop_hist_conversion_rate,0.020052608368401212
int64_field_0,0.01818145998797178
headway_x_hour,0.01779468794862993
device_lon,0.01714969972026083
stop_dist_mean,0.014138614819402876
hour_cos,0.013278695455458525
day_of_month,0.012972525735026105
stop_hist_count,0.012886587070586875
device_lat,0.012195505256766848
headway_avg_stop_hour,0.011690428479928839
headway_x_weekend,0.01167894104660056
hour_weekday_interaction,0.011574367913202769
stop_rate_per_sample,0.011385519456723553
stop_headway_std,0.010468956614299021
user_stop_interaction,0.009561166666236163
stop_headway_mean,0.008554241365821384
dist_device_stop,0.008386793395656048
geo_distance,0.007575050358265942
stop_lon_event,0.007402011454276781
day_sin,0.007150204485477494
Unnamed: 0,0.0069480640821230144
stop_recency_days,0.006729345938164218
hour,0.006671778866756268
user_hist_conversion_rate,0.0060563384031466615
time_hour,0.005693622546834623
stop_event_count,0.005050212482761259
distance_from_peak,0.00427747586994525
user_recency_days,0.003487351601113394
stop_total_samples,0.003388983841958798
dist_x_weekend,0.0033090603370350114
stop_recency_score,0.0028826737303290243
user_recency_score,0.0026614495174168457
stop_lat_event,0.002446819195908028
time_day_of_month,0.001968370547229782
day_of_week,0.0015572356185857125
dist_x_peak,0.0008980660352954585
time_day_of_week,0.00026680728412944093
user_hist_count,5.820702814821778e-05
day_cos,3.157598600410993e-05
line_hist_conversion_rate,0.0
month_sin,0.0
line_hist_count,0.0
month,0.0
y_pred,0.0
y_pred_proba,0.0
user_line_interaction,0.0
stop_line_interaction,0.0
time_month,0.0
is_holiday,0.0
direction,0.0
time_period,0.0
ctm_service_route,0.0
is_weekend,0.0
is_peak_hour,0.0
month_cos,0.0
